                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                0.93845,                0.86442,                 1.0854,                0.81209,                0.81104,                0.86356,                0.68412,                0.83129,                0.63286,                0.97672,             8.2479e-05,             8.2479e-05,             8.2479e-05
                     34,                0.95046,                0.87392,                 1.1016,                0.83095,                0.79956,                0.86327,                0.68813,                0.83133,                 0.6311,                0.97672,             8.1301e-05,             8.1301e-05,             8.1301e-05
                     35,                 0.9369,                0.80739,                   1.08,                0.82782,                0.80241,                0.86546,                0.69199,                0.82502,                0.63127,                0.97429,             8.0123e-05,             8.0123e-05,             8.0123e-05
                     36,                 0.9504,                0.84112,                 1.0732,                0.84177,                0.80276,                0.86439,                0.69384,                0.81972,                0.63576,                0.97156,             7.8945e-05,             7.8945e-05,             7.8945e-05
                     37,                0.91065,                0.79936,                 1.0394,                0.84028,                0.79877,                0.86129,                0.69366,                0.81909,                0.63005,                0.97116,             7.7766e-05,             7.7766e-05,             7.7766e-05
                     38,                0.89984,                0.81254,                 1.0761,                0.82763,                0.80919,                0.86322,                0.69474,                0.81897,                0.62643,                 0.9705,             7.6588e-05,             7.6588e-05,             7.6588e-05
                     39,                0.93702,                0.80367,                 1.0988,                0.83377,                0.80887,                0.86679,                0.69442,                0.81837,                0.61651,                0.96962,              7.541e-05,              7.541e-05,              7.541e-05
                     40,                0.92007,                 0.7973,                 1.0793,                0.87948,                0.77836,                0.86413,                0.69403,                0.81508,                0.61056,                0.96797,             7.4232e-05,             7.4232e-05,             7.4232e-05
                     41,                0.90419,                0.79651,                 1.0635,                0.86734,                0.78606,                0.86477,                0.69819,                0.81036,                0.60607,                0.96479,             7.3054e-05,             7.3054e-05,             7.3054e-05
                     42,                0.95229,                0.80628,                 1.0721,                0.87274,                0.78547,                0.86598,                0.70186,                 0.8052,                0.60012,                0.96274,             7.1876e-05,             7.1876e-05,             7.1876e-05
                     43,                0.93386,                0.81611,                  1.085,                0.87526,                0.78881,                0.86771,                0.70714,                0.80032,                0.59594,                0.96056,             7.0698e-05,             7.0698e-05,             7.0698e-05
                     44,                0.90014,                0.76452,                 1.0659,                0.85092,                0.81065,                0.87042,                0.70777,                0.79329,                0.59665,                 0.9571,              6.952e-05,              6.952e-05,              6.952e-05
                     45,                0.87206,                0.80446,                 1.0618,                0.84252,                0.81994,                0.87052,                0.71157,                0.78703,                0.59457,                0.95435,             6.8342e-05,             6.8342e-05,             6.8342e-05
                     46,                0.88807,                0.76642,                 1.0579,                0.85495,                0.80206,                0.87182,                0.71199,                0.78175,                  0.588,                 0.9528,             6.7164e-05,             6.7164e-05,             6.7164e-05
                     47,                0.87489,                0.76369,                 1.0556,                0.85408,                0.80355,                0.87351,                 0.7121,                0.78096,                0.58428,                0.95287,             6.5986e-05,             6.5986e-05,             6.5986e-05
                     48,                0.85463,                0.75668,                 1.0537,                0.87551,                0.79515,                0.87552,                0.71248,                0.77864,                0.58194,                0.95222,             6.4807e-05,             6.4807e-05,             6.4807e-05
                     49,                0.92226,                0.79281,                 1.0686,                0.86629,                0.80619,                0.87729,                0.71603,                 0.7756,                0.57952,                0.94939,             6.3629e-05,             6.3629e-05,             6.3629e-05
                     50,                0.84494,                0.75982,                 1.0296,                 0.8471,                 0.8292,                0.87996,                 0.7177,                0.77596,                0.57911,                0.94751,             6.2451e-05,             6.2451e-05,             6.2451e-05
                     51,                0.90253,                0.77579,                 1.0491,                0.87854,                0.81643,                0.88119,                0.71943,                 0.7743,                0.57602,                0.94637,             6.1273e-05,             6.1273e-05,             6.1273e-05
                     52,                0.85978,                0.71389,                 1.0375,                0.88244,                0.81064,                0.87933,                0.72014,                0.77333,                0.57571,                0.94541,             6.0095e-05,             6.0095e-05,             6.0095e-05
                     53,                0.88821,                0.75605,                 1.0423,                0.89593,                 0.8009,                0.87759,                0.71971,                0.76939,                0.57505,                 0.9438,             5.8917e-05,             5.8917e-05,             5.8917e-05
                     54,                0.89391,                0.76595,                 1.0388,                0.89849,                0.80738,                0.87984,                0.72051,                0.76781,                0.57151,                0.94311,             5.7739e-05,             5.7739e-05,             5.7739e-05
                     55,                0.85873,                0.74751,                  1.042,                0.90233,                0.79807,                0.88079,                0.72202,                0.76578,                0.56705,                0.94232,             5.6561e-05,             5.6561e-05,             5.6561e-05
                     56,                0.89662,                0.75491,                 1.0536,                 0.9059,                0.80097,                0.88465,                0.72382,                0.76244,                0.56231,                0.94158,             5.5383e-05,             5.5383e-05,             5.5383e-05
                     57,                0.86328,                0.76209,                 1.0468,                0.90576,                0.79913,                0.88436,                0.72163,                0.75861,                0.55779,                0.94042,             5.4204e-05,             5.4204e-05,             5.4204e-05
                     58,                0.87626,                0.73329,                 1.0463,                0.90533,                0.79768,                0.88256,                0.72346,                0.75587,                0.55435,                0.93943,             5.3026e-05,             5.3026e-05,             5.3026e-05
                     59,                0.85903,                0.72405,                 1.0405,                0.88007,                0.81608,                0.88107,                 0.7232,                0.75301,                0.55105,                 0.9386,             5.1848e-05,             5.1848e-05,             5.1848e-05
                     60,                0.87258,                0.74238,                 1.0475,                 0.8807,                0.82005,                0.88285,                0.72538,                0.75121,                0.55046,                0.93826,              5.067e-05,              5.067e-05,              5.067e-05
                     61,                0.85993,                0.74395,                 1.0651,                0.86482,                 0.8267,                0.88327,                0.72635,                0.74733,                0.54909,                0.93672,             4.9492e-05,             4.9492e-05,             4.9492e-05
                     62,                0.85512,                0.73408,                 1.0354,                0.88321,                0.81766,                0.88229,                 0.7272,                0.74498,                0.54911,                0.93595,             4.8314e-05,             4.8314e-05,             4.8314e-05
                     63,                0.89435,                0.73904,                 1.0448,                0.90005,                0.81083,                0.88369,                0.73097,                0.74269,                  0.549,                0.93477,             4.7136e-05,             4.7136e-05,             4.7136e-05
                     64,                0.84698,                0.71922,                 1.0357,                0.89672,                0.81657,                0.88468,                0.73031,                0.74033,                0.54947,                0.93364,             4.5958e-05,             4.5958e-05,             4.5958e-05
                     65,                0.84529,                 0.7235,                 1.0396,                0.89967,                0.81878,                0.88568,                0.72781,                0.73817,                0.54771,                0.93272,              4.478e-05,              4.478e-05,              4.478e-05
                     66,                0.83072,                0.69928,                 1.0235,                0.89778,                0.81794,                0.88607,                0.72983,                0.73558,                0.54436,                0.93159,             4.3602e-05,             4.3602e-05,             4.3602e-05
                     67,                0.83562,                0.70934,                 1.0215,                0.89743,                0.82001,                0.88766,                0.72943,                 0.7348,                0.54206,                0.93121,             4.2423e-05,             4.2423e-05,             4.2423e-05
                     68,                0.81887,                0.68612,                 1.0327,                0.91923,                0.80355,                0.88638,                0.72946,                  0.734,                0.54135,                0.93014,             4.1245e-05,             4.1245e-05,             4.1245e-05
                     69,                0.81029,                0.69043,                 1.0343,                0.91236,                0.81025,                 0.8864,                0.73128,                0.73284,                0.53826,                0.92896,             4.0067e-05,             4.0067e-05,             4.0067e-05
                     70,                0.80668,                0.67878,                 1.0298,                 0.9102,                0.81141,                0.88688,                0.73089,                0.73224,                0.53554,                0.92778,             3.8889e-05,             3.8889e-05,             3.8889e-05
                     71,                0.81738,                0.68102,                 1.0234,                0.89388,                0.81891,                0.88808,                0.73246,                0.73027,                0.53351,                0.92736,             3.7711e-05,             3.7711e-05,             3.7711e-05
                     72,                0.82345,                0.70205,                 1.0261,                 0.8826,                0.82554,                0.88894,                0.73424,                0.72895,                 0.5325,                 0.9263,             3.6533e-05,             3.6533e-05,             3.6533e-05
                     73,                  0.817,                0.69826,                  1.047,                0.87927,                0.82895,                 0.8905,                0.73332,                0.72883,                0.53126,                0.92597,             3.5355e-05,             3.5355e-05,             3.5355e-05
                     74,                0.82715,                0.67862,                 1.0261,                0.87614,                0.83275,                0.89061,                0.73473,                 0.7269,                0.52902,                0.92466,             3.4177e-05,             3.4177e-05,             3.4177e-05
                     75,                0.84522,                 0.7118,                 1.0377,                0.88468,                 0.8287,                 0.8891,                0.73574,                0.72486,                 0.5271,                0.92388,             3.2999e-05,             3.2999e-05,             3.2999e-05
                     76,                0.81799,                 0.7182,                 1.0603,                0.90006,                0.82142,                 0.8901,                0.73752,                0.72258,                0.52716,                0.92303,             3.1821e-05,             3.1821e-05,             3.1821e-05
                     77,                0.84023,                 0.6912,                 1.0362,                0.91215,                 0.8184,                 0.8903,                0.73899,                0.72034,                0.52718,                0.92223,             3.0643e-05,             3.0643e-05,             3.0643e-05
                     78,                0.80797,                0.67895,                 1.0176,                0.91607,                0.81362,                0.88916,                0.74133,                0.71754,                0.52641,                0.92153,             2.9464e-05,             2.9464e-05,             2.9464e-05
                     79,                0.83628,                0.70548,                 1.0326,                0.91279,                0.81359,                0.88886,                0.74039,                0.71488,                0.52433,                 0.9206,             2.8286e-05,             2.8286e-05,             2.8286e-05
                     80,                 0.8087,                 0.6546,                 1.0127,                0.91655,                0.81745,                0.89189,                0.74196,                0.71487,                0.52354,                0.92031,             2.7108e-05,             2.7108e-05,             2.7108e-05
                     81,                0.83976,                0.70503,                 1.0495,                0.91937,                0.81664,                0.89162,                0.74148,                0.71414,                0.52146,                0.92029,              2.593e-05,              2.593e-05,              2.593e-05
                     82,                 0.8201,                0.68093,                 1.0156,                0.92434,                0.81345,                0.89116,                0.74277,                0.71287,                0.51967,                0.92006,             2.4752e-05,             2.4752e-05,             2.4752e-05
                     83,                 0.8453,                0.70889,                 1.0225,                0.92088,                0.81415,                0.89145,                 0.7437,                0.71125,                0.51801,                0.91959,             2.3574e-05,             2.3574e-05,             2.3574e-05
