                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3907,                0.88799,                 1.2494,                0.87463,                0.82769,                0.89655,                0.52444,                 1.4572,                0.79286,                 1.3237,              0.0093268,              0.0093268,              0.0093268
                     36,                 1.3846,                0.87679,                 1.2435,                0.85965,                0.82681,                0.89622,                0.53104,                 1.4269,                0.81704,                 1.2992,               0.009307,               0.009307,               0.009307
                     37,                 1.3838,                0.89075,                 1.2437,                 0.8657,                0.80415,                0.89591,                0.52254,                 1.4529,                0.82361,                 1.3216,              0.0092872,              0.0092872,              0.0092872
                     38,                 1.3884,                0.87685,                  1.249,                 0.8742,                 0.8209,                0.89923,                0.53089,                 1.4317,                0.79595,                 1.3067,              0.0092674,              0.0092674,              0.0092674
                     39,                 1.3902,                0.88714,                 1.2467,                0.88152,                0.82974,                0.90339,                 0.5338,                 1.4418,                0.78551,                 1.3179,              0.0092476,              0.0092476,              0.0092476
                     40,                 1.3883,                0.86311,                 1.2447,                0.87542,                0.82799,                0.90304,                0.53563,                 1.4379,                0.77685,                 1.3105,              0.0092278,              0.0092278,              0.0092278
                     41,                 1.3821,                0.87124,                 1.2438,                0.88827,                0.81953,                0.90143,                0.52866,                 1.4469,                0.78205,                 1.3098,               0.009208,               0.009208,               0.009208
                     42,                 1.3683,                0.86255,                 1.2365,                0.87406,                0.82514,                0.89882,                0.53385,                 1.4367,                0.78027,                 1.3146,              0.0091882,              0.0091882,              0.0091882
                     43,                  1.365,                0.84722,                 1.2322,                0.86448,                0.84584,                0.90252,                0.53134,                 1.4423,                0.76317,                 1.3021,              0.0091684,              0.0091684,              0.0091684
                     44,                 1.3759,                0.84863,                 1.2423,                0.87354,                 0.8288,                0.90324,                 0.5356,                 1.4343,                0.77213,                 1.3129,              0.0091486,              0.0091486,              0.0091486
                     45,                 1.3626,                0.84281,                 1.2353,                0.88091,                0.83757,                0.90346,                0.53892,                 1.4321,                0.76398,                 1.3109,              0.0091288,              0.0091288,              0.0091288
                     46,                 1.3655,                0.83889,                 1.2313,                0.88211,                0.83104,                 0.9067,                0.54115,                 1.4187,                0.74595,                 1.2916,               0.009109,               0.009109,               0.009109
                     47,                 1.3568,                0.83335,                 1.2277,                0.88222,                0.82627,                 0.9023,                0.53828,                 1.4369,                0.75148,                 1.3004,              0.0090892,              0.0090892,              0.0090892
                     48,                 1.3627,                0.83429,                 1.2308,                0.86447,                0.84699,                0.90203,                0.53714,                 1.4378,                0.74756,                 1.3047,              0.0090694,              0.0090694,              0.0090694
                     49,                 1.3357,                0.82085,                 1.2184,                0.87277,                0.85324,                0.90761,                0.54209,                 1.4203,                0.74948,                  1.298,              0.0090496,              0.0090496,              0.0090496
                     50,                 1.3452,                0.81945,                 1.2229,                0.86681,                0.84279,                0.90851,                0.54612,                 1.4231,                0.74785,                 1.2974,              0.0090298,              0.0090298,              0.0090298
                     51,                 1.3388,                0.81363,                  1.214,                0.87688,                0.82591,                0.90501,                0.54065,                 1.4168,                0.77067,                 1.2958,                0.00901,                0.00901,                0.00901
                     52,                 1.3379,                0.80821,                 1.2175,                 0.8845,                0.84081,                0.90749,                0.54727,                 1.4088,                0.74371,                 1.2937,              0.0089902,              0.0089902,              0.0089902
                     53,                  1.329,                 0.7984,                 1.2111,                0.85385,                 0.8561,                0.90721,                0.54779,                 1.4097,                0.73418,                 1.2928,              0.0089704,              0.0089704,              0.0089704
                     54,                 1.3304,                0.80367,                 1.2086,                0.89563,                0.84651,                 0.9146,                0.55596,                  1.395,                  0.716,                 1.2862,              0.0089506,              0.0089506,              0.0089506
                     55,                  1.326,                0.78516,                 1.2082,                0.88296,                0.84177,                0.91173,                0.55026,                 1.4084,                 0.7277,                  1.286,              0.0089308,              0.0089308,              0.0089308
                     56,                 1.3257,                0.79883,                 1.2043,                0.89138,                0.84405,                0.91368,                0.55207,                 1.4152,                0.71493,                 1.2996,               0.008911,               0.008911,               0.008911
                     57,                 1.3218,                0.78317,                 1.2047,                0.88343,                0.84994,                0.91826,                0.55129,                 1.4146,                0.72462,                  1.296,              0.0088912,              0.0088912,              0.0088912
                     58,                 1.3222,                0.79049,                 1.2019,                 0.8885,                0.83763,                0.91105,                0.54754,                 1.4126,                0.72569,                 1.2835,              0.0088714,              0.0088714,              0.0088714
                     59,                  1.326,                0.79752,                 1.2075,                0.88889,                0.84111,                0.91467,                0.55567,                 1.4021,                0.71413,                 1.2857,              0.0088516,              0.0088516,              0.0088516
                     60,                 1.3163,                 0.7817,                 1.2043,                0.90712,                 0.8367,                0.91581,                0.55687,                 1.4039,                0.71342,                 1.2826,              0.0088318,              0.0088318,              0.0088318
                     61,                 1.3155,                0.77963,                 1.1989,                0.88351,                0.84758,                0.91071,                0.54958,                 1.3998,                0.72233,                 1.2866,               0.008812,               0.008812,               0.008812
                     62,                  1.315,                0.77789,                 1.2024,                 0.8864,                0.85143,                 0.9172,                0.55697,                 1.4006,                0.70548,                 1.2902,              0.0087922,              0.0087922,              0.0087922
                     63,                 1.3064,                0.76857,                 1.2034,                0.87097,                0.86683,                0.91884,                0.56128,                  1.394,                0.69521,                 1.2881,              0.0087724,              0.0087724,              0.0087724
                     64,                 1.2965,                0.76998,                 1.1887,                0.88815,                0.84687,                0.91749,                0.55637,                 1.4058,                0.70222,                 1.2925,              0.0087526,              0.0087526,              0.0087526
                     65,                 1.3017,                0.76376,                 1.1884,                0.89487,                0.84432,                0.91844,                0.56146,                 1.3919,                0.69403,                 1.2736,              0.0087328,              0.0087328,              0.0087328
                     66,                 1.3034,                0.75907,                 1.1942,                0.87673,                0.85778,                 0.9168,                0.55956,                  1.394,                0.70227,                 1.2801,               0.008713,               0.008713,               0.008713
                     67,                 1.2875,                0.75853,                 1.1944,                0.87301,                 0.8653,                0.91823,                0.55899,                 1.3945,                0.69487,                 1.2889,              0.0086932,              0.0086932,              0.0086932
                     68,                 1.2974,                0.75963,                 1.1962,                0.89138,                0.84847,                0.91789,                0.56235,                 1.3908,                0.68557,                 1.2824,              0.0086734,              0.0086734,              0.0086734
                     69,                 1.3041,                0.75737,                 1.1991,                0.90023,                0.84689,                0.91997,                0.56385,                 1.3905,                0.68533,                 1.2746,              0.0086536,              0.0086536,              0.0086536
                     70,                   1.28,                0.74085,                 1.1841,                0.89802,                0.84644,                0.91657,                0.55652,                 1.3939,                 0.6979,                 1.2859,              0.0086338,              0.0086338,              0.0086338
                     71,                 1.2906,                0.75102,                  1.187,                0.88969,                0.84731,                0.91543,                0.56336,                  1.385,                0.68417,                 1.2798,               0.008614,               0.008614,               0.008614
                     72,                 1.2755,                0.73947,                 1.1835,                0.88872,                0.85234,                0.91833,                0.56324,                 1.3877,                0.68382,                 1.2848,              0.0085942,              0.0085942,              0.0085942
                     73,                 1.2897,                0.74993,                 1.1959,                0.89189,                0.85232,                0.91733,                 0.5625,                 1.3875,                0.68511,                 1.2817,              0.0085744,              0.0085744,              0.0085744
                     74,                 1.2777,                0.74759,                 1.1891,                 0.8995,                0.85138,                0.92086,                0.56683,                 1.3843,                0.67282,                 1.2771,              0.0085546,              0.0085546,              0.0085546
                     75,                 1.2682,                0.73506,                 1.1844,                0.89648,                0.85586,                0.92161,                0.56532,                 1.3905,                0.67549,                 1.2821,              0.0085348,              0.0085348,              0.0085348
                     76,                 1.2703,                0.73125,                 1.1729,                0.88902,                0.85951,                0.92316,                0.56924,                  1.379,                0.66817,                 1.2738,               0.008515,               0.008515,               0.008515
                     77,                 1.2812,                0.74708,                  1.183,                0.88742,                0.86377,                0.92416,                0.56654,                 1.3809,                0.66387,                 1.2776,              0.0084952,              0.0084952,              0.0084952
                     78,                 1.2627,                0.72387,                 1.1718,                0.89614,                0.85715,                0.92554,                0.56967,                 1.3715,                0.65946,                 1.2667,              0.0084754,              0.0084754,              0.0084754
                     79,                 1.2613,                0.72246,                 1.1743,                0.89649,                0.85561,                0.92585,                0.57249,                  1.375,                0.65619,                 1.2685,              0.0084556,              0.0084556,              0.0084556
                     80,                 1.2566,                0.73122,                 1.1705,                0.88711,                0.86437,                0.92288,                 0.5707,                 1.3695,                0.65757,                 1.2654,              0.0084358,              0.0084358,              0.0084358
