time,uptime,CPU1,CPU2,CPU3,CPU4,GPU,used_ram,tot_ram,Power TOT
2024-06-03 19:58:21.989307,5:47:33.550000,44,29,26,56,1.4,3565788,4050824,6188
2024-06-03 19:58:22.990693,5:47:34.550000,36,44,42,36,8.1,3565988,4050824,5201
2024-06-03 19:58:23.992059,5:47:35.550000,76,28,34,24,8.5,3565960,4050824,4688
2024-06-03 19:58:24.993359,5:47:36.550000,36,24,56,38,99.2,3565412,4050824,4695
2024-06-03 19:58:25.994763,5:47:37.560000,50,33,53,25,56.6,3565996,4050824,5250
2024-06-03 19:58:26.996080,5:47:38.560000,57,37,45,58,77.1,3561268,4050824,5527
2024-06-03 19:58:27.997522,5:47:39.560000,55,34,55,36,9.4,3561888,4050824,6269
2024-06-03 19:58:28.998833,5:47:40.560000,37,31,63,50,2.9,3562056,4050824,4573
2024-06-03 19:58:30.000175,5:47:41.560000,31,30,81,30,99.4,3561332,4050824,5291
2024-06-03 19:58:31.001355,5:47:42.560000,47,56,50,44,5.3,3562228,4050824,5640
2024-06-03 19:58:32.002666,5:47:43.560000,30,49,25,59,99.4,3562092,4050824,4654
2024-06-03 19:58:33.003986,5:47:44.560000,34,51,20,58,99.3,3561756,4050824,5210
2024-06-03 19:58:34.005413,5:47:45.560000,47,33,31,47,8.2,3562292,4050824,6431
2024-06-03 19:58:35.006815,5:47:46.560000,59,36,22,40,10.0,3562552,4050824,4375
2024-06-03 19:58:36.008146,5:47:47.570000,29,23,28,77,99.1,3562440,4050824,5096
2024-06-03 19:58:37.009474,5:47:48.570000,65,28,24,33,5.1,3562680,4050824,6350
2024-06-03 19:58:38.011391,5:47:49.570000,50,27,34,42,99.3,3562680,4050824,4573
2024-06-03 19:58:39.012703,5:47:50.570000,29,75,28,27,25.5,3563068,4050824,5405
2024-06-03 19:58:40.014097,5:47:51.570000,41,34,24,54,7.7,3562540,4050824,6117
2024-06-03 19:58:41.015474,5:47:52.570000,44,30,27,56,8.3,3562472,4050824,4416
2024-06-03 19:58:42.016776,5:47:53.570000,72,32,35,23,67.9,3562848,4050824,5250
2024-06-03 19:58:43.017289,5:47:54.570000,53,22,33,45,8.6,3563212,4050824,6076
2024-06-03 19:58:44.018711,5:47:55.570000,48,29,27,53,8.2,3562828,4050824,4491
2024-06-03 19:58:45.020071,5:47:56.570000,28,79,25,24,99.4,3562520,4050824,5088
2024-06-03 19:58:46.021273,5:47:57.570000,25,42,30,60,29.4,3562812,4050824,5486
2024-06-03 19:58:47.022606,5:47:58.570000,24,70,34,29,7.6,3562600,4050824,6188
2024-06-03 19:58:48.024010,5:47:59.580000,56,34,30,36,7.9,3563340,4050824,6157
2024-06-03 19:58:49.025312,5:48:00.580000,40,44,30,48,10.8,3563164,4050824,5323
2024-06-03 19:58:50.026686,5:48:01.580000,30,44,31,63,96.4,3562964,4050824,4539
2024-06-03 19:58:51.028186,5:48:02.580000,25,35,29,68,46.1,3563008,4050824,4573
2024-06-03 19:58:52.029275,5:48:03.580000,28,58,24,47,65.9,3562688,4050824,4736
2024-06-03 19:58:53.030702,5:48:04.580000,36,55,29,38,99.3,3562688,4050824,4892
2024-06-03 19:58:54.032629,5:48:05.580000,40,34,36,79,7.3,3562620,4050824,6188
2024-06-03 19:58:55.033934,5:48:06.580000,41,61,36,30,8.2,3563464,4050824,5842
2024-06-03 19:58:56.035282,5:48:07.580000,47,58,33,29,8.5,3562948,4050824,4892
2024-06-03 19:58:57.036607,5:48:08.580000,44,47,29,60,99.2,3562040,4050824,5527
2024-06-03 19:58:58.037294,5:48:09.580000,57,63,41,39,6.2,3562412,4050824,6380
2024-06-03 19:58:59.038626,5:48:10.590000,37,58,33,44,1.9,3562092,4050824,4892
2024-06-03 19:59:00.040007,5:48:11.590000,37,45,25,58,99.5,3555788,4050824,5088
2024-06-03 19:59:01.041409,5:48:12.590000,66,40,47,46,11.4,3559948,4050824,5128
2024-06-03 19:59:02.042927,5:48:13.590000,43,62,40,37,0.0,3554176,4050824,3492
2024-06-03 19:59:03.044300,5:48:14.590000,15,8,100,14,0.0,3484944,4050824,3492
2024-06-03 19:59:04.045624,5:48:15.590000,40,24,30,41,6.3,3397316,4050824,4136
2024-06-03 19:59:05.046969,5:48:16.590000,20,48,47,39,1.4,3398576,4050824,3856
2024-06-03 19:59:06.048386,5:48:17.590000,32,20,58,22,0.0,3397904,4050824,3369
2024-06-03 19:59:07.049314,5:48:18.590000,69,27,30,35,0.0,3371024,4050824,3856
2024-06-03 19:59:08.050658,5:48:19.590000,58,36,40,51,13.2,3325528,4050824,3979
2024-06-03 19:59:09.051958,5:48:20.600000,58,86,70,53,28.8,3287704,4050824,4096
2024-06-03 19:59:10.053594,5:48:21.600000,59,68,72,55,7.3,3236780,4050824,4218
2024-06-03 19:59:11.055634,5:48:22.600000,52,59,67,78,8.8,3222944,4050824,4614
2024-06-03 19:59:12.056996,5:48:23.600000,79,72,75,80,14.5,1583944,4050824,5088
2024-06-03 19:59:13.058348,5:48:24.600000,85,74,68,57,26.7,1438308,4050824,4532
2024-06-03 19:59:14.059767,5:48:25.600000,93,85,99,89,22.0,1451576,4050824,3932
2024-06-03 19:59:15.061201,5:48:26.600000,86,92,90,93,14.8,1540296,4050824,4654
2024-06-03 19:59:16.062529,5:48:27.600000,87,86,78,70,15.6,1570848,4050824,4654
2024-06-03 19:59:17.063850,5:48:28.600000,100,35,35,37,15.2,1571600,4050824,3733
2024-06-03 19:59:18.067598,5:48:29.600000,76,62,81,62,11.3,1602284,4050824,5169
2024-06-03 19:59:19.070532,5:48:30.600000,100,100,100,91,0.0,1675896,4050824,5014
2024-06-03 19:59:20.071965,5:48:31.610000,93,100,97,100,0.0,1701332,4050824,4851
