time,uptime,CPU1,CPU2,CPU3,CPU4,GPU
2024-06-03 15:15:18.888273,1:04:30.530000,34,50,22,9,12.8
2024-06-03 15:15:19.889329,1:04:31.530000,58,45,28,21,0.0
2024-06-03 15:15:20.890605,1:04:32.530000,57,25,26,12,21.2
2024-06-03 15:15:21.891894,1:04:33.530000,51,75,55,50,5.2
2024-06-03 15:15:22.893258,1:04:34.530000,91,83,72,77,61.9
2024-06-03 15:15:23.894566,1:04:35.530000,79,70,73,82,36.8
2024-06-03 15:15:24.896103,1:04:36.540000,71,71,58,60,28.1
2024-06-03 15:15:25.897290,1:04:37.540000,78,78,89,80,6.3
2024-06-03 15:15:26.898611,1:04:38.540000,39,49,33,61,18.1
2024-06-03 15:15:27.899947,1:04:39.540000,72,79,61,62,21.2
2024-06-03 15:15:28.901342,1:04:40.540000,62,45,46,52,0.0
2024-06-03 15:15:29.902167,1:04:41.540000,39,53,23,50,0.0
2024-06-03 15:15:30.903453,1:04:42.540000,14,43,41,15,0.9
2024-06-03 15:15:31.904448,1:04:43.540000,14,36,39,12,24.7
2024-06-03 15:15:32.905315,1:04:44.540000,12,39,35,43,32.2
2024-06-03 15:15:33.906721,1:04:45.540000,12,58,26,26,0.0
2024-06-03 15:15:34.908057,1:04:46.550000,15,5,94,4,1.1
2024-06-03 15:15:35.909335,1:04:47.550000,40,37,29,45,1.6
2024-06-03 15:15:36.910649,1:04:48.550000,21,56,39,35,5.0
2024-06-03 15:15:37.911975,1:04:49.550000,13,73,27,20,0.0
2024-06-03 15:15:38.913275,1:04:50.550000,32,37,36,34,0.0
2024-06-03 15:15:39.954112,1:04:51.550000,55,66,32,13,0.0
2024-06-03 15:15:40.955619,1:04:52.550000,33,52,31,44,43.2
2024-06-03 15:15:41.957020,1:04:53.550000,50,59,45,40,13.7
2024-06-03 15:15:42.958424,1:04:54.550000,35,35,41,71,23.6
2024-06-03 15:15:43.961078,1:04:55.550000,18,69,37,55,10.5
2024-06-03 15:15:45.126944,1:04:56.560000,17,21,63,58,0.4
2024-06-03 15:15:46.300159,1:04:57.560000,43,57,50,46,0.0
2024-06-03 15:15:47.301347,1:04:58.560000,82,54,58,50,0.0
2024-06-03 15:15:48.302826,1:04:59.560000,39,72,78,36,14.6
2024-06-03 15:15:49.304184,1:05:00.560000,45,48,62,68,3.8
2024-06-03 15:15:50.305317,1:05:01.560000,51,38,36,45,0.6
