time,uptime,CPU1,CPU2,CPU3,CPU4,RAM,SWAP,EMC,IRAM,GPU,APE,APE_MASTER,NVDEC,NVENC,NVJPG,SE,VIC03,Fan tegra_pwmfan0,Temp AO,Temp CPU,Temp GPU,Temp PLL,Temp thermal,Power thermal,Power TOT,jetson_clocks,nvp model
2024-05-30 20:20:31.878641,2:33:19.930000,20,18,18,18,0.427429702174123,0.1743621746443172,0,0.0,0.2,25500,OFF,OFF,OFF,OFF,OFF,OFF,31.372549019607842,54.0,47.0,45.0,45.0,46.0,82,3214,OFF,MAXN
2024-05-30 20:20:31.879308,2:33:19.930000,20,18,18,18,0.427429702174123,0.1743621746443172,0,0.0,0.2,25500,OFF,OFF,OFF,OFF,OFF,OFF,31.372549019607842,54.0,47.0,45.0,45.0,46.0,82,3214,OFF,MAXN
2024-05-30 20:20:32.880826,2:33:20.920000,65,49,58,51,0.4287058735417648,0.17420150120408676,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,31.372549019607842,54.5,47.0,45.0,45.0,46.0,41,3297,OFF,MAXN
2024-05-30 20:20:33.882537,2:33:21.930000,63,63,34,35,0.4341663102584469,0.17419507426647754,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,31.372549019607842,54.5,46.5,45.0,44.5,47.25,41,3214,OFF,MAXN
2024-05-30 20:20:34.884173,2:33:22.930000,73,25,5,12,0.438624533630811,0.1741937888789557,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,31.372549019607842,54.5,47.0,45.5,45.5,46.0,82,3497,OFF,MAXN
2024-05-30 20:20:35.885600,2:33:23.930000,64,42,14,21,0.4418775387926532,0.1741790069224545,0,0.0,17.3,25500,OFF,OFF,OFF,OFF,OFF,OFF,31.372549019607842,54.5,48.0,45.5,45.5,46.5,164,4184,OFF,MAXN
2024-05-30 20:20:36.887200,2:33:24.930000,79,28,35,34,0.445224162703473,0.17417193729108435,0,0.0,33.1,25500,OFF,OFF,OFF,OFF,OFF,OFF,31.372549019607842,54.5,47.5,45.5,45.5,46.25,205,4102,OFF,MAXN
2024-05-30 20:20:37.888693,2:33:25.930000,28,15,31,77,0.44767795938720123,0.1741642249659533,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,31.372549019607842,54.5,47.5,45.5,45.0,46.25,82,3621,OFF,MAXN
2024-05-30 20:20:38.890045,2:33:26.930000,52,30,32,56,0.44918965581806036,0.1741610114971487,0,0.0,2.6,25500,OFF,OFF,OFF,OFF,OFF,OFF,31.372549019607842,54.0,47.0,45.5,45.5,46.0,82,3456,OFF,MAXN
2024-05-30 20:20:39.891504,2:33:27.930000,20,33,24,70,0.45226330716607177,0.17415908341586592,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,31.372549019607842,54.5,47.5,45.5,45.5,46.0,82,3621,OFF,MAXN
2024-05-30 20:20:40.892959,2:33:28.930000,19,10,37,74,0.4542283154340855,0.17415779802834408,0,0.0,10.1,25500,OFF,OFF,OFF,OFF,OFF,OFF,31.372549019607842,54.5,47.5,45.5,45.0,46.0,41,3539,OFF,MAXN
2024-05-30 20:20:41.894508,2:33:29.930000,19,53,38,23,0.4634857315171953,0.1741558699470613,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,31.372549019607842,54.5,47.5,45.0,45.0,46.5,82,3297,OFF,MAXN
2024-05-30 20:20:42.896011,2:33:30.930000,32,44,36,19,0.484432680235801,0.1741558699470613,0,0.0,26.5,25500,OFF,OFF,OFF,OFF,OFF,OFF,31.372549019607842,54.5,48.0,45.5,45.0,46.0,123,3697,OFF,MAXN
2024-05-30 20:20:43.897480,2:33:31.940000,33,59,18,9,0.4930643288915343,0.1741552272533004,0,0.0,4.6,25500,OFF,OFF,OFF,OFF,OFF,OFF,31.372549019607842,54.5,47.5,45.5,45.0,46.25,82,3497,OFF,MAXN
2024-05-30 20:20:44.898093,2:33:32.940000,22,25,48,29,0.5147848641148495,0.1741552272533004,0,0.0,12.6,25500,OFF,OFF,OFF,OFF,OFF,OFF,31.372549019607842,54.5,47.0,45.5,45.5,46.0,164,3739,OFF,MAXN
2024-05-30 20:20:45.899558,2:33:33.940000,20,65,19,22,0.5251666906462059,0.1741526564782567,0,0.0,1.1,25500,OFF,OFF,OFF,OFF,OFF,OFF,31.372549019607842,54.0,47.0,45.5,45.0,46.25,41,3338,OFF,MAXN
2024-05-30 20:20:46.901047,2:33:34.940000,36,20,29,42,0.5434016520260083,0.1741526564782567,0,0.0,2.6,25500,OFF,OFF,OFF,OFF,OFF,OFF,31.372549019607842,54.0,47.0,45.5,45.0,46.25,41,3297,OFF,MAXN
2024-05-30 20:20:47.902174,2:33:35.940000,43,47,8,18,0.5651448528411812,0.1741526564782567,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,31.372549019607842,54.5,47.0,45.0,45.5,46.0,82,3374,OFF,MAXN
2024-05-30 20:20:48.903731,2:33:36.940000,40,46,12,14,0.5797937234048843,0.1741526564782567,0,0.0,6.9,25500,OFF,OFF,OFF,OFF,OFF,OFF,31.372549019607842,54.0,47.5,45.0,45.5,46.0,82,3338,OFF,MAXN
